<co.cask.cdap.app.guice.ImpersonatedTwillRunnerService.start, co.cask.cdap.app.guice.ImpersonatedTwillRunnerService.stop>
<com.icegreen.greenmail.util.Service.startService, com.icegreen.greenmail.util.Service.stopService>
<com.google.common.base.JdkMatcher.start, com.google.common.base.JdkMatcher.end>
<org.glassfish.common.util.admin.RefCounterLock.lock, org.glassfish.common.util.admin.RefCounterLock.release>
<com.liferay.item.selector.taglib.internal.document.library.portlet.toolbar.contributor.AggregateDLPortletToolbarContributor.activate, com.liferay.item.selector.taglib.internal.document.library.portlet.toolbar.contributor.AggregateDLPortletToolbarContributor.deactivate>
<org.dspace.kernel.DSpaceKernelManager.registerMBean, org.dspace.kernel.DSpaceKernelManager.unregisterMBean>
<com.netflix.exhibitor.core.backup.BackupManager.start, com.netflix.exhibitor.core.backup.BackupManager.close>
<org.copperengine.core.persistent.lock.PersistentLockManagerDialectOracleMultiInstance.acquireLock, org.copperengine.core.persistent.lock.PersistentLockManagerDialectOracleMultiInstance.releaseLock>
<org.jbpm.runtime.manager.impl.lock.DebugRuntimeManagerLock.lock, org.jbpm.runtime.manager.impl.lock.DebugRuntimeManagerLock.unlock>
<org.modeshape.jboss.service.ReferenceFactoryService.start, org.modeshape.jboss.service.ReferenceFactoryService.stop>
<org.openstreetmap.osmosis.xml.v0_6.XmlChangeWriter.beginElementWriter, org.openstreetmap.osmosis.xml.v0_6.XmlChangeWriter.endElementWriter>
<org.sonar.runner.cache.DirectoryLock.lock, org.sonar.runner.cache.DirectoryLock.unlock>
<com.hubspot.singularity.SingularityOkHttpClient.start, com.hubspot.singularity.SingularityOkHttpClient.stop>
<com.github.mongobee.dao.ChangeEntryDao.acquireProcessLock, com.github.mongobee.dao.ChangeEntryDao.releaseProcessLock>
<io.atomix.copycat.client.session.RegisterAttempt.register, io.atomix.copycat.client.session.RegisterAttempt.unregister>
<com.innowhere.relproxy.impl.jproxy.core.clsmgr.JProxyEngine.start, com.innowhere.relproxy.impl.jproxy.core.clsmgr.JProxyEngine.stop>
<org.bimserver.client.notifications.NotificationsManager.connect, org.bimserver.client.notifications.NotificationsManager.disconnect>
<com.espertech.esper.core.context.mgr.ContextControllerConditionFilter.activate, com.espertech.esper.core.context.mgr.ContextControllerConditionFilter.deactivate>
<com.alibaba.otter.canal.common.zookeeper.running.ServerRunningMonitor.start, com.alibaba.otter.canal.common.zookeeper.running.ServerRunningMonitor.stop>
<com.mysql.cj.xdevapi.PooledXProtocol.init, com.mysql.cj.xdevapi.PooledXProtocol.close>
<com.google.cloud.language.v1beta2.LanguageServiceClient.create, com.google.cloud.language.v1beta2.LanguageServiceClient.close>
<io.netty.channel.ChannelOutboundHandler.connect, io.netty.channel.ChannelOutboundHandler.close>
<io.advantageous.qbit.vertx.http.server.SimpleVertxHttpServerWrapper.start, io.advantageous.qbit.vertx.http.server.SimpleVertxHttpServerWrapper.stop>
<org.infinispan.statetransfer.StateTransferLock.acquireSharedTopologyLock, org.infinispan.statetransfer.StateTransferLock.releaseSharedTopologyLock>
<com.sun.enterprise.server.logging.LogRotationTimer.startTimer, com.sun.enterprise.server.logging.LogRotationTimer.stopTimer>
<com.liferay.registry.internal.RegistryImpl.registerServiceDependencyManager, com.liferay.registry.internal.RegistryImpl.unregisterServiceDependencyManager>
<org.granite.gravity.adapters.JMSConsumer.start, org.granite.gravity.adapters.JMSConsumer.stop>
<com.sun.ejb.containers.SingletonContextFactory.create, com.sun.ejb.containers.SingletonContextFactory.destroy>
<com.amazonaws.services.sagemaker.AmazonSageMaker.startNotebookInstance, com.amazonaws.services.sagemaker.AmazonSageMaker.stopNotebookInstance>
<org.jboss.resteasy.plugins.server.netty.NettyContainer.start, org.jboss.resteasy.plugins.server.netty.NettyContainer.stop>
<org.apache.flink.runtime.operators.resettable.AbstractBlockResettableIterator.open, org.apache.flink.runtime.operators.resettable.AbstractBlockResettableIterator.close>
<org.glassfish.admin.amx.impl.j2ee.J2EELogicalServerImplBase.startApp, org.glassfish.admin.amx.impl.j2ee.J2EELogicalServerImplBase.stopApp>
<com.jidesoft.swing.HideTimer.startTimer, com.jidesoft.swing.HideTimer.stopTimer>
<com.liferay.portal.spring.aop.ServiceBeanAopCacheManagerUtil.registerServiceBeanAopCacheManager, com.liferay.portal.spring.aop.ServiceBeanAopCacheManagerUtil.unregisterServiceBeanAopCacheManager>
<org.neo4j.internal.kernel.api.Locks.acquireSharedLookupLock, org.neo4j.internal.kernel.api.Locks.releaseSharedLookupLock>
<com.sun.jdo.spi.persistence.support.sqlstore.PersistenceManager.acquireCacheLock, com.sun.jdo.spi.persistence.support.sqlstore.PersistenceManager.releaseCacheLock>
<org.apache.geode.internal.util.concurrent.SemaphoreWriteLock.lock, org.apache.geode.internal.util.concurrent.SemaphoreWriteLock.unlock>
<fish.payara.concurrent.monitoring.ManagedScheduledExecutorServiceStatsProvider.register, fish.payara.concurrent.monitoring.ManagedScheduledExecutorServiceStatsProvider.unregister>
<org.jgroups.blocks.cs.Acceptor.start, org.jgroups.blocks.cs.Acceptor.stop>
<org.nustaq.kontraktor.asyncio.AsyncServerSocket.connect, org.nustaq.kontraktor.asyncio.AsyncServerSocket.close>
<org.mule.module.management.mbean.MuleService.start, org.mule.module.management.mbean.MuleService.stop>
<com.sun.web.security.HttpRequestWrapper.lockSession, com.sun.web.security.HttpRequestWrapper.unlockSession>
<com.sun.jdo.spi.persistence.support.sqlstore.impl.ExtensionFilter.acquireExclusiveLock, com.sun.jdo.spi.persistence.support.sqlstore.impl.ExtensionFilter.releaseExclusiveLock>
<org.mobicents.media.server.io.network.channel.Channel.connect, org.mobicents.media.server.io.network.channel.Channel.disconnect>
